mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_features__col1_tfidf__min_df,param_features__col4_tfidf__min_df,param_features__col6_tfidf__min_df,param_features__date,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.9603242874145508,0.024954756362894653,0.1329793930053711,0.008928484364427912,30,log2,3,6,424,1,3,2,drop,"{'clf__max_depth': 30, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 424, 'features__col1_tfidf__min_df': 1, 'features__col4_tfidf__min_df': 3, 'features__col6_tfidf__min_df': 2, 'features__date': 'drop'}",0.4923415592560018,0.4842822941238124,0.49025002005339713,0.4889579578110704,0.0034146749231579545,38
5.120957136154175,0.05927084398384554,0.30588825543721515,0.020582818171016332,50,0.3,2,7,615,3,5,3,DateFeatures(),"{'clf__max_depth': 50, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 7, 'clf__n_estimators': 615, 'features__col1_tfidf__min_df': 3, 'features__col4_tfidf__min_df': 5, 'features__col6_tfidf__min_df': 3, 'features__date': DateFeatures()}",0.7300128544519677,0.5786589204395454,0.7262820252071466,0.6783179333662198,0.07048602185233993,10
1.2695732116699219,0.017543701228627386,0.16952141125996908,0.019496126270908916,20,sqrt,3,7,479,1,5,2,drop,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 7, 'clf__n_estimators': 479, 'features__col1_tfidf__min_df': 1, 'features__col4_tfidf__min_df': 5, 'features__col6_tfidf__min_df': 2, 'features__date': 'drop'}",0.61209157879532,0.5561122040240909,0.6104282943575634,0.5928773590589914,0.026005757020775535,32
1.6417269706726074,0.08130919591239767,0.185455322265625,0.0237336075987159,20,0.1,4,2,400,5,3,2,drop,"{'clf__max_depth': 20, 'clf__max_features': 0.1, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 400, 'features__col1_tfidf__min_df': 5, 'features__col4_tfidf__min_df': 3, 'features__col6_tfidf__min_df': 2, 'features__date': 'drop'}",0.5946562979392013,0.5698519196576014,0.6320570236176183,0.5988550804048071,0.025568093010811158,30
2.871392250061035,0.024619568612029494,0.24099326133728027,0.017646759826815784,50,0.1,4,5,602,2,3,3,DateFeatures(),"{'clf__max_depth': 50, 'clf__max_features': 0.1, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 5, 'clf__n_estimators': 602, 'features__col1_tfidf__min_df': 2, 'features__col4_tfidf__min_df': 3, 'features__col6_tfidf__min_df': 3, 'features__date': DateFeatures()}",0.6448713447462777,0.564703303710824,0.6410144509389379,0.6168630331320132,0.03691609348625636,22
5.761271158854167,0.03597554224006458,0.24669949213663736,0.008587639431326434,30,0.3,3,5,688,1,5,5,DateFeatures(),"{'clf__max_depth': 30, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 5, 'clf__n_estimators': 688, 'features__col1_tfidf__min_df': 1, 'features__col4_tfidf__min_df': 5, 'features__col6_tfidf__min_df': 5, 'features__date': DateFeatures()}",0.662608494409059,0.5674640305373397,0.686016766909019,0.6386964306184725,0.051267455052544646,15
3.3460818926493325,0.14356281054500963,0.18580993016560873,0.025240695544581245,10,0.3,1,10,672,2,3,3,drop,"{'clf__max_depth': 10, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 672, 'features__col1_tfidf__min_df': 2, 'features__col4_tfidf__min_df': 3, 'features__col6_tfidf__min_df': 3, 'features__date': 'drop'}",0.6980069323481997,0.603847264195348,0.6900945345891825,0.6639829103775767,0.04264483920233785,13
2.450758377710978,0.04876933098616135,0.24932289123535156,0.06791798073618772,10,0.1,3,11,771,1,2,1,drop,"{'clf__max_depth': 10, 'clf__max_features': 0.1, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 11, 'clf__n_estimators': 771, 'features__col1_tfidf__min_df': 1, 'features__col4_tfidf__min_df': 2, 'features__col6_tfidf__min_df': 1, 'features__date': 'drop'}",0.6267400436040681,0.5690462440088023,0.6282444859235514,0.6080102578454739,0.027558563307635328,24
0.8313732941945394,0.016036977604909245,0.1129149595896403,0.0048044436339189445,30,sqrt,1,8,208,1,3,3,drop,"{'clf__max_depth': 30, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 8, 'clf__n_estimators': 208, 'features__col1_tfidf__min_df': 1, 'features__col4_tfidf__min_df': 3, 'features__col6_tfidf__min_df': 3, 'features__date': 'drop'}",0.7421149466245007,0.6232735709981236,0.7487809340406877,0.7047231505544373,0.057657808690488165,4
2.5336967309316,0.06257282789510377,0.1709416707356771,0.021685052554833863,20,0.3,4,7,319,1,5,5,DateFeatures(),"{'clf__max_depth': 20, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 7, 'clf__n_estimators': 319, 'features__col1_tfidf__min_df': 1, 'features__col4_tfidf__min_df': 5, 'features__col6_tfidf__min_df': 5, 'features__date': DateFeatures()}",0.614201860778606,0.5536092765226164,0.6362833424848076,0.6013648265953433,0.03495084529876089,29
2.1236276626586914,0.0560891282657737,0.12642502784729004,0.008367960431614377,,0.3,4,7,303,5,2,3,drop,"{'clf__max_depth': None, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 7, 'clf__n_estimators': 303, 'features__col1_tfidf__min_df': 5, 'features__col4_tfidf__min_df': 2, 'features__col6_tfidf__min_df': 3, 'features__date': 'drop'}",0.6784286978078693,0.5840306354840197,0.6479001934282101,0.6367865089066997,0.03933093803743727,16
2.689906040827433,0.11502263210421487,0.18552660942077637,0.042707178995262565,,0.1,1,3,537,2,2,3,drop,"{'clf__max_depth': None, 'clf__max_features': 0.1, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 3, 'clf__n_estimators': 537, 'features__col1_tfidf__min_df': 2, 'features__col4_tfidf__min_df': 2, 'features__col6_tfidf__min_df': 3, 'features__date': 'drop'}",0.6892654875032835,0.6849677833791998,0.7413572967346225,0.7051968558723686,0.02562941900367571,3
1.8855047225952148,0.007102802524644249,0.1941533088684082,0.016338354529354705,50,sqrt,4,2,779,1,2,1,drop,"{'clf__max_depth': 50, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 779, 'features__col1_tfidf__min_df': 1, 'features__col4_tfidf__min_df': 2, 'features__col6_tfidf__min_df': 1, 'features__date': 'drop'}",0.5723016372879643,0.531598539720356,0.5398022356040932,0.5479008042041379,0.017576037625638363,37
2.428969065348307,0.10743801931447067,0.09027862548828125,0.008281424028164534,30,0.3,4,9,334,3,1,5,DateFeatures(),"{'clf__max_depth': 30, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 9, 'clf__n_estimators': 334, 'features__col1_tfidf__min_df': 3, 'features__col4_tfidf__min_df': 1, 'features__col6_tfidf__min_df': 5, 'features__date': DateFeatures()}",0.5992353049257947,0.5559705994359024,0.6345967155061732,0.5966008732892901,0.032152985393889284,31
